id,scan,input_psnr,input_ssim,psnr,ssim,split
test_0142,49,17.8653,0.8414,23.3543,0.9171,test
test_0143,49,13.2688,0.8119,22.158,0.8919,test
test_0144,35,17.393,0.7753,21.7036,0.892,test
test_0145,11,13.0187,0.8211,24.1255,0.9427,test
test_0146,35,7.0974,0.6666,23.8215,0.9271,test
test_0147,33,14.767,0.8044,21.641,0.8794,test
test_0148,35,13.238,0.762,20.704,0.8592,test
test_0149,49,13.4888,0.829,23.0575,0.9084,test
test_0150,33,18.8834,0.8276,21.4536,0.8793,test
test_0151,35,18.2981,0.7944,19.584,0.825,test
test_0152,33,18.9677,0.8396,21.5825,0.8792,test
test_0153,33,16.5277,0.8501,25.5836,0.9438,test
test_0154,33,15.0054,0.8636,27.5574,0.9668,test
test_0155,39,15.08,0.8763,28.0583,0.967,test
test_0156,11,17.894,0.8336,24.0668,0.9395,test
test_0157,33,14.8009,0.8249,20.6984,0.8624,test
test_0158,11,9.3409,0.7705,23.849,0.9361,test
test_0159,39,15.6051,0.8639,26.0556,0.9497,test
test_0160,35,15.5697,0.8015,22.8436,0.9052,test
test_0161,35,16.6653,0.8087,24.9423,0.9389,test
test_0162,49,20.1336,0.85,24.0461,0.9252,test
test_0163,35,17.0237,0.7785,22.4165,0.9024,test
test_0164,11,19.3157,0.8466,20.7977,0.8817,test
test_0165,33,17.4847,0.8458,24.2577,0.933,test
test_0166,39,11.5565,0.8424,26.4604,0.9526,test
test_0167,11,13.6997,0.8231,23.0816,0.9259,test
test_0168,39,20.413,0.8893,26.1224,0.9462,test
test_0169,49,19.2026,0.8454,21.1074,0.8678,test
test_0170,39,21.0605,0.8874,24.7297,0.9285,test
test_0171,11,6.6051,0.6926,22.2194,0.9116,test
test_0172,33,19.6144,0.8401,21.5555,0.876,test
test_0173,35,9.7701,0.7276,21.9394,0.8866,test
test_0174,35,13.7431,0.7684,23.9758,0.9297,test
test_0175,33,12.8298,0.8095,24.2492,0.9337,test
test_0176,35,11.674,0.7549,23.2693,0.9181,test
test_0177,49,13.4383,0.833,25.2714,0.9429,test
test_0178,35,15.7848,0.8007,24.4898,0.9373,test
test_0179,49,11.2162,0.8128,24.8709,0.9395,test
test_0180,33,5.7095,0.6541,24.2187,0.931,test
test_0181,39,19.3809,0.8809,23.0526,0.9076,test
test_0182,35,18.5566,0.7826,22.0645,0.8977,test
test_0183,33,17.5314,0.8386,21.9046,0.8917,test
test_0184,49,13.966,0.8236,22.6824,0.9026,test
test_0185,11,14.7128,0.8225,24.0986,0.9389,test
test_0186,11,8.4876,0.749,22.7375,0.9218,test
test_0187,35,17.9255,0.793,21.3141,0.8752,test
test_0188,33,19.3739,0.8467,22.7105,0.9015,test
test_0189,33,20.7528,0.8503,24.4314,0.9368,test
test_0190,33,10.8448,0.807,25.6658,0.9521,test
test_0191,11,11.9369,0.8077,24.7408,0.9476,test
test_0192,33,19.4466,0.823,21.6933,0.8755,test
test_0193,35,14.7544,0.792,24.1353,0.9311,test
test_0194,49,6.7941,0.7079,22.7598,0.903,test
test_0195,35,6.884,0.6762,24.9184,0.9416,test
test_0196,49,12.1467,0.8198,24.2071,0.9328,test
test_0197,11,15.8994,0.8325,24.0517,0.9377,test
test_0198,33,15.0885,0.8407,26.4549,0.9589,test
test_0199,35,11.9901,0.7806,24.5629,0.9384,test
