id,source,corner_err,corner_pct,corner_worst,pck,quad_iou
Image1,classical,14.890359878540039,0.4653237462043762,26.581451416015625,1.0,0.9682850722311397
Image11,model,4.875898361206055,0.1523718237876892,6.427260875701904,1.0,0.9930159864513091
Image12,model,6.556509971618652,0.20489093661308289,8.574931144714355,1.0,0.9914510201671448
Image13,model,7.623344421386719,0.23822951316833496,10.121395111083984,1.0,0.9876219906073779
Image14,model,4.806094169616699,0.15019044280052185,7.513814926147461,1.0,0.993201958265935
Image15,model,7.158183574676514,0.22369323670864105,12.933579444885254,1.0,0.9934885830600945
Image16,model,9.704051971435547,0.30325162410736084,14.690441131591797,1.0,0.9851256154348604
Image18,model,11.838581085205078,0.3699556589126587,17.73665428161621,1.0,0.9820193386575143
Image19,model,13.215843200683594,0.4129951000213623,20.18492317199707,1.0,0.9783731793333793
Image2,model,10.243696212768555,0.32011550664901733,15.680917739868164,1.0,0.9865280895939403
Image3,model,10.48859977722168,0.3277687430381775,13.653289794921875,1.0,0.9881628961937462
Image4,model,14.942970275878906,0.4669678211212158,24.28038215637207,1.0,0.982387657728051
Image6,model,9.09843635559082,0.28432613611221313,11.22275447845459,1.0,0.9885741952389376
Image7,model,19.021770477294922,0.5944303274154663,42.021663665771484,1.0,0.9712627840835235
Image8,model,19.7288818359375,0.6165275573730469,35.9233512878418,1.0,0.9720638495164923
Image9,model,10.052406311035156,0.31378433722997046,13.605091094970703,1.0,0.9844943600501329
