id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
val_0175,22,5.4582,1.5076,8.0182,0,0.9273,88.7006,val
val_0176,22,4.9322,1.3624,8.1033,0,0.8855,130.8231,val
val_0177,22,3.6333,1.0036,3.9446,1,0.9581,2.509,val
val_0178,23,7.6273,2.1068,19.2586,0,0.8766,2.2748,val
val_0179,22,13.1041,3.6195,23.4732,0,0.6983,125.4353,val
val_0180,22,3.7676,1.0407,8.4252,0,0.949,2.6416,val
val_0181,10,4.2128,1.1636,7.0823,1,0.953,4.6137,val
val_0182,27,9.5291,2.6321,20.2294,0,0.8919,2.3867,val
val_0183,10,9.2765,2.5623,10.4615,0,0.8259,97.4781,val
val_0184,22,6.5767,1.8166,10.7076,0,0.8864,91.8315,val
val_0185,10,11.0134,3.042,16.4346,0,0.8313,117.2964,val
val_0186,23,11.9279,3.2946,22.1364,0,0.8379,90.5188,val
val_0187,23,4.2815,1.1826,6.3139,1,0.9364,2.4031,val
val_0188,22,5.2709,1.4559,7.855,0,0.9088,88.9636,val
val_0189,22,7.1892,1.9857,14.3097,0,0.8821,2.9141,val
val_0190,13,5.7219,1.5805,11.1047,0,0.9347,2.9724,val
val_0191,23,9.0043,2.4871,14.9,0,0.8596,6.1047,val
val_0192,23,4.3208,1.1935,5.6753,1,0.9566,94.2228,val
val_0193,13,8.1281,2.2451,10.4278,0,0.8786,69.5824,val
val_0194,13,4.5157,1.2473,7.5905,0,0.9577,2.6685,val
val_0195,22,4.1899,1.1573,5.946,1,0.9277,6.2264,val
val_0196,27,3.0574,0.8445,5.9521,1,0.9589,2.7485,val
val_0197,22,4.4118,1.2186,6.3882,1,0.9274,2.1962,val
val_0198,27,6.0001,1.6573,8.3297,0,0.8959,111.1053,val
val_0199,10,2.8407,0.7846,5.0047,1,0.9441,2.5122,val
test_0000,35,5.8788,1.6238,10.5989,0,0.9245,3.0443,test
test_0001,49,2.8075,0.7755,3.6302,1,0.941,2.4221,test
test_0002,35,4.6747,1.2912,7.2858,0,0.9495,2.4102,test
test_0003,49,4.7904,1.3232,10.2088,0,0.9525,2.269,test
test_0004,11,1.8041,0.4983,3.1151,1,0.9695,2.3749,test
test_0005,11,3.4114,0.9423,5.2455,1,0.9584,2.2196,test
test_0006,39,5.4581,1.5076,11.4063,0,0.9469,2.7439,test
test_0007,39,2.1241,0.5867,4.3726,1,0.9703,2.3148,test
