threshold_pct,threshold_px,pck,split
0.25,0.905,0.63,test
0.5,1.81,0.78,test
0.75,2.715,0.845,test
1.0,3.62,0.89,test
1.5,5.431,0.945,test
2.0,7.241,0.95,test
3.0,10.861,0.96,test
5.0,18.102,0.975,test
7.5,27.153,0.975,test
10.0,36.204,0.98,test
